Zenia|16|unavailable
Zenia|4|Elephas maximus bengalensis
Zenia|5|Papio cynocephalus
Zechariah|11|Macropus eugenii
Zacharie|11|Sarcophilus harrisii
Yolanthe|18|Gyps bengalensis
Yevette|2|Bos mutus
Yasmin|8|Anitibyx armatus
Yance|20|Tapirus terrestris
Wynny|2|Cercatetus concinnus
Worthington|2|Heloderma horridum
Woody|1|Phascogale tapoatafa
Winthrop|4|Melursus ursinus
Winona|18|Elephas maximus bengalensis
Winfield|5|Anhinga rufa
Willow|5|Psophia viridis
Willis|17|Lamprotornis nitens
Willdon|6|Mirounga angustirostris
Willabella|12|Varanus sp.
Wilfrid|11|Corvus brachyrhynchos
Wilden|20|Amphibolurus barbatus
Whitman|4|Phalaropus fulicarius
Westleigh|16|Isoodon obesulus
Wesley|10|Geospiza sp.
Wendel|20|Dasyurus viverrinus
Welch|12|Gazella thompsonii
Web|10|Ovis ammon
Wayne|9|Varanus sp.
Wash|3|Gorilla gorilla
Warner|15|Irania gutteralis
Ward|18|Rhea americana
Walther|3|Cereopsis novaehollandiae
Walsh|12|Cercopithecus aethiops
Wally|6|unavailable
Waite|17|Tachyglossus aculeatus
Von|11|Acridotheres tristis
Vladamir|11|Tringa glareola
Vladamir|13|Sarkidornis melanotos
Vlad|9|Vulpes chama
Vlad|13|Chlidonias leucopterus
Viv|11|unavailable
Virge|13|Aonyx capensis
Violet|3|unavailable
Vidovic|9|Tayassu pecari
Vernor|6|Delphinus delphis
Vernor|13|unavailable
Verna|14|Macropus agilis
Verile|14|Nyctereutes procyonoides
Vere|19|Paraxerus cepapi
Venus|20|Butorides striatus
Vassily|9|Sciurus niger
Vassili|10|Pteronura brasiliensis
Vasilis|9|Naja sp.
Vannie|3|Kobus defassa
Valma|18|Numida meleagris
Valina|12|Cacatua tenuirostris
Valentin|6|Picoides pubescens
Valdemar|11|Chloephaga melanoptera
Vail|10|Pseudoleistes virescens
Vaclav|19|Columba livia
Urbano|20|Limnocorax flavirostra
Ulrika|4|Chauna torquata
Ugo|7|unavailable
Tybie|5|Neophoca cinerea
Tully|16|Corvus albicollis
Tully|6|Felis wiedi or Leopardus weidi
Tucker|5|Acanthaster planci
Troy|16|Petaurus breviceps
Tristam|9|Dicrostonyx groenlandicus
Trefor|20|Ephipplorhynchus senegalensis
Towny|18|Didelphis virginiana
Tove|1|Anthropoides paradisea
Torrie|10|Neotis denhami
Tore|4|Macaca mulatta
Tommi|14|Corallus hortulanus cooki
Tommi|18|Ninox superciliaris
Tomlin|16|Dusicyon thous
Tomasina|13|Meleagris gallopavo
Tobit|1|Crocodylus niloticus
Tobi|4|Papio cynocephalus
Titos|1|Anser anser
Timoteo|13|Rhea americana
Tildie|15|Mephitis mephitis
